,Unnamed: 0,img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
38,16,/games/boxart/full_3094030AmericaFrontccc.jpg,God of War (2018),PS4,Action,Sony Interactive Entertainment,SIE Santa Monica Studio,9.0,9.7,10.0,11.0,,,,,,2018-04-20,2018-12-03
40,24,/games/boxart/full_the-binding-of-isaac_366AmericaFront.jpg,The Binding of Isaac,PC,Action,Edmund McMillen,Edmund McMillen,,8.3,,7.17,,,,,,2011-09-28,2018-12-01
41,6573,/games/boxart/full_6491564AmericaFrontccc.jpg,The Binding of Isaac,Linux,Action,Edmund McMillen,Edmund McMillen,,,,,,,,,,2011-09-28,2018-12-01
42,6574,/games/boxart/full_8919541AmericaFrontccc.jpg,The Binding of Isaac,OSX,Action,Edmund McMillen,Edmund McMillen,,,,,,,,,,2011-09-28,2018-12-01
43,20,/games/boxart/full_uncharted-3-drakes-deception_174AmericaFront.jpg,Uncharted 3: Drake's Deception,PS3,Action,Sony Computer Entertainment,Naughty Dog,,9.3,6.3,9.3,,,,,,2011-11-01,
44,22,/games/boxart/1340019ccc.jpg,Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,,8.8,,,7.72,2.9,0.24,2.83,1.74,2005-10-25,
45,74,/games/boxart/full_1027141AmericaFrontccc.jpg,Grand Theft Auto: Liberty City Stories,PS2,Action,Rockstar Games,Rockstar Leeds,,8.3,,,3.54,1.56,0.07,1.4,0.5,2006-06-06,
46,4767,/games/boxart/full_5019191AmericaFrontccc.png,Grand Theft Auto: Liberty City Stories,PSN,Action,Rockstar Games,Rockstar Leeds,,9.0,,,,,,,,2009-10-21,
47,23,/games/boxart/full_3803324AmericaFrontccc.jpg,God of War III,PS3,Action,Sony Computer Entertainment,SCEA Santa Monica Studio,9.4,9.2,9.4,7.6,,,,,,2010-03-16,
49,176,/games/boxart/5328878ccc.jpg,Samurai Warriors,PS2,Action,KOEI,Omega Force,,,,1.79,,,,,,2004-05-06,
50,2248,/games/boxart/1283933ccc.jpg,Samurai Warriors,XB,Action,KOEI,Omega Force,,,,,0.07,0.05,,0.02,0.0,2004-07-13,
51,26,/games/boxart/full_2350454AmericaFrontccc.jpg,Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,Naughty Dog,9.2,9.5,9.6,,6.74,3.28,0.21,2.22,1.02,2009-10-13,
52,27,/games/boxart/full_7375558AmericaFrontccc.jpg,Red Dead Redemption,PS3,Action,Rockstar Games,Rockstar San Diego,9.1,9.5,,,6.57,2.82,0.17,2.58,1.0,2011-10-11,
53,28,/games/boxart/full_2634795AmericaFrontccc.jpg,Red Dead Redemption,X360,Action,Rockstar Games,Rockstar San Diego,9.1,9.5,10.0,,6.5,3.77,0.09,2.03,0.6,2010-05-18,
54,5861,/games/boxart/full_red-dead-redemption_103AmericaFront.jpg,Red Dead Redemption,XBL,Action,Rockstar Games,Rockstar San Diego,,,,,,,,,,2010-12-21,
55,5862,/games/boxart/full_162553AmericaFrontccc.jpg,Red Dead Redemption,PSN,Action,Unknown,Rockstar San Diego,,,,,,,,,,,
