,Developer,Notable games,selected_titles,selected_titles_series
291,king,Candy Crush series,[],"['Candy Crush Saga', 'Candy Crush Soda Saga']"
292,kog studios,Elsword,['Elsword'],['Elsword']
293,kojima productions,Death Stranding,['Death Stranding'],['Death Stranding']
294,konami,Gradius seriesContra seriesMetal Gear seriesCastlevania seriesPro Evolution Soccer seriesSilent Hill seriesTwinBee seriesBemani seriesPower Pros seriesProfessional Baseball Spirits seriesMystical Ninja seriesTokimeki Memorial seriesLovePlus seriesSuikoden series,"['Castlevania', 'Contra', 'Gradius', 'LovePlus', 'Metal Gear', 'Silent Hill', 'Suikoden', 'Tokimeki Memorial', 'TwinBee', 'Pro Evolution Soccer']","[""Castlevania II: Simon's Quest"", 'Teenage Mutant Ninja Turtles: Tournament Fighters (NES)', 'Elebits: The Adventures of Kai and Zero', 'Silent Scope Complete', 'Base Wars', 'Silent Hill: Play Novel', 'Pro Evolution Soccer 2012', 'Suikoden Tactics', 'Shaman King: Master of Spirits 2', 'Teenage Mutant Ninja Turtles: Tournament Fighters (SNES)', 'Adventure of Tokyo Disney Sea', 'The Miracle of Almana', 'Castlevania', 'Castlevania: Lament of Innocence', 'Yu-Gi-Oh! GX Spirit Caller', 'Castlevania Puzzle: Encore of the Night', 'Teenage Mutant Ninja Turtles 3: Mutant Nightmare', 'Teenage Mutant Ninja Turtles: The Hyperstone Heist', ""Yu-Gi-Oh! 5D's World Championship 2010: Reverse of Arcadia"", 'Castlevania: Portrait of Ruin', ""Tokimeki Memorial Girl's Side: 2nd Season"", 'Metal Gear (MSX)', 'M.I.A.: Missing in Action', 'Silent Scope EX', 'Pro Evolution Soccer 2007', 'Suikoden Tierkreis', 'Teenage Mutant Ninja Turtles 2: Battle Nexus', 'Metal Gear 2: Solid Snake', ""Tokimeki Memorial: Girl's Side 1st Love Plus"", 'New Love Plus', 'Enthusia Professional Racing', 'Super Castlevania IV', 'Silent Scope 2: Dark Silhouette', 'Castlevania Chronicles', 'Yu-Gi-Oh! The Dawn of Destiny', 'Gensou Suikoden Card Stories', 'Prince of Tennis 2005: Crystal Drive', 'Suikoden', 'Silent Hill 4: The Room', 'TwinBee', 'Operation C', 'Castlevania: Dawn of Sorrow', 'Yu-Gi-Oh! Reshef of Destruction', 'Pro Evolution Soccer 4', 'Pro Evolution Soccer', 'Pro Evolution Soccer 2008', 'Silent Hill 2: Born From A Wish', 'Silent Hill 2', 'Wild West C.O.W.-Boys of Moo Mesa', 'Ring of Red', 'Haunted Castle', 'Disney Sports: Soccer', 'Suikoden IV', 'Pro Evolution Soccer 2009', 'Contra', ""Castlevania II: Belmont's Revenge"", 'Hi no Tori Hououhen: Gaou no Bouken', 'Castlevania: Rondo of Blood', 'Shaman King: Legacy of the Spirits, Sprinting Wolf', 'Pro Evolution Soccer Management', 'Fantastic Parodius - Pursue the Glory of the Past', 'Blades of Steel', 'Jikkyou Powerful Pro Baseball 2016', 'Castlevania: Order of Ecclesia', 'ISS Pro Evolution 2', ""Pop'n TwinBee"", 'Teenage Mutant Ninja Turtles: Fall of the Foot Clan', 'Contra III: The Alien Wars', 'Super C', 'The Legend of Getsu Fuuma', 'Genso Suikoden: Tsumugareshi Hyakunen no Toki', 'Silent Hill: The Arcade', 'Teenage Mutant Ninja Turtles II: The Arcade Game', 'International Superstar Soccer Deluxe', 'TwinBee 3: Poko Poko Daimaō', 'Zen: Intergalactic Ninja (NES)', 'MLB Power Pros 2008', 'International Superstar Soccer Pro 98', 'Silent Scope 3', 'The Legend of the Mystical Ninja', 'International Superstar Soccer Pro', 'Teenage Mutant Ninja Turtles: Turtles in Time', 'Yu-Gi-Oh! Power of Chaos: Yugi the Destiny', 'Silent Hill', 'Shaman King: Master of Spirits', 'Metal Gear Solid 2: Substance', 'Bottom of the 9th (1996)', 'Gradius III and IV', ""Tokimeki Memorial Girl's Side: 3rd Story"", 'Yu-Gi-Oh! Power of Chaos: Joey the Passion', 'Pro Evolution Soccer 2', 'Teenage Mutant Ninja Turtles II: Back from the Sewers', 'TwinBee Yahho! Fushigi no Kuni de Daiabare!!', 'MLB Power Pros', 'Lost in Blue', 'Pro Evolution Soccer 6', 'Neo Contra', 'Pro Evolution Soccer 2011 3D', ""Skate or Die: Bad 'N Rad"", 'The Adventures of Bayou Billy / Mad City', 'TwinBee Da!!', 'Pro Evolution Soccer 5', 'Super Contra', 'Teenage Mutant Ninja Turtles: Tournament Fighters (Sega)', 'Gradius IV', 'Silent Scope', 'Tokimeki Memorial', ""Tao's Adventure: Curse of the Demon Seal"", 'Zone of the Enders HD Collection', 'Shadow of Destiny', 'ISS Pro Evolution', 'Teenage Mutant Ninja Turtles III: The Manhattan Project', 'Suikoden III', 'Shadow of Memories', 'Contra Force', 'Pro Evolution Soccer 2011', 'Dance Evolution', 'Shaman King: Legacy of the Spirits, Soaring Hawk', 'Otomedius G', 'Evolution Skateboarding', 'Evolution Snowboarding', 'Suikoden II', 'Gradius II', ""Castlevania III: Dracula's Curse"", 'Metal Gear Solid HD Collection', 'Pro Evolution Soccer 2010', 'The Treasure of Uşas', 'Castlevania: Curse of Darkness', 'LovePlus', 'Yu-Gi-Oh! Power of Chaos: Kaiba the Revenge', 'Metal Gear', 'Gradius', ""Castlevania Special: I'm Kid Dracula!"", 'Teenage Mutant Ninja Turtles III: Radical Rescue', 'Castlevania: Harmony of Despair', 'Metal Gear Survive', 'Yu-Gi-Oh! The Duelists of the Roses', 'The Sword of Etheria', 'Teenage Mutant Ninja Turtles (1989)', 'Gradius III', 'Teenage Mutant Ninja Turtles (2003)', 'Pro Evolution Soccer 3', 'Lost in Blue 2']"
295,krome studios,The Legend of Spyro: A New Beginning,[],[]
296,krome studios melbourne,Horace series,[],[]
297,kuju entertainment,Microsoft Train Simulator,['Microsoft Train Simulator'],['Microsoft Train Simulator']
298,kunos simulazioni,Assetto Corsa series,['Assetto Corsa'],"['Assetto Corsa Competizione', 'Assetto Corsa']"
300,kylotonn,WRC 5–V-Rally 4,[],[]
301,larian studios,Divinity seriesBaldur's Gate III,[],"[""Divinity II: Developer's Cut"", 'Divinity: Original Sin II', 'Divinity II: Ego Draconis', 'Divinity II: The Dragon Knight Saga', 'Divine Divinity']"
