,Developer,Notable games,selected_titles,selected_titles_series
360,netherrealm studios,Mortal Kombat seriesInjustice: Gods Among Us Injustice 2,"['Injustice: Gods Among Us', 'Injustice 2']","['Mortal Kombat XL', 'Injustice: Gods Among Us', 'Injustice 2', 'Mortal Kombat X', 'Mortal Kombat Arcade Kollection', 'Mortal Kombat (2011)']"
361,neverland,Rune Factory series,[],[]
362,neversoft,Guitar Hero seriesTony Hawk seriesGun,[],"[""Tony Hawk's Pro Skater 3"", ""Tony Hawk's American Wasteland"", ""Tony Hawk's Underground 2""]"
364,new world computing,Might and Magic franchise Heroes of Might and Magic series,[],"['Heroes Chronicles: The Sword of Frost', 'Heroes Chronicles: Clash of the Dragons', 'Heroes of Might and Magic IV: The Gathering Storm', 'Might and Magic IX', 'Might and Magic II: Gates to Another World', 'Might and Magic III: Isles of Terra', 'Heroes Chronicles: Conquest of the Underworld', 'Heroes Chronicles: Revolt of the Beastmasters', ""Planet's Edge: The Point of no Return"", 'Heroes of Might and Magic: A Strategic Quest', 'Heroes of Might and Magic III: The Shadow of Death', 'Heroes of Might and Magic III: Complete', 'Might and Magic: Book I', 'Might and Magic IV: Clouds of Xeen', 'Heroes Chronicles: Warlords of the Wastelands', 'Heroes Chronicles: The Fiery Moon', 'Heroes of Might and Magic II', 'Heroes Chronicles: Masters of the Elements', 'Might and Magic VIII: Day of the Destroyer', 'Might and Magic: World of Xeen', 'Heroes of Might and Magic IV: Winds of War', 'Might and Magic V: Darkside of Xeen', ""Heroes of Might and Magic III: Armageddon's Blade"", 'Might and Magic VI: The Mandate of Heaven', 'Heroes of Might and Magic: Quest for the Dragon Bone Staff', 'Heroes of Might and Magic IV: Complete', 'Heroes Chronicles: The World Tree', 'Heroes of Might and Magic IV', 'Legends of Might and Magic', 'Might and Magic Book One: The Secret of the Inner Sanctum', 'Might and Magic VII: For Blood and Honor']"
365,new world interactive,Insurgency,[],[]
366,next level games,Super Mario StrikersLuigi's Mansion: Dark MoonLuigi's Mansion 3Spider-Man: Friend or Foe,['Super Mario Strikers'],['Super Mario Strikers']
367,niantic,IngressPokémon Go,"['Ingress', 'Pokémon Go']","['Ingress', 'Pokémon Go']"
368,nicalis,VVVVVVCave StoryNightSky1001 SpikesThe Binding of Isaac: RebirthCrystal Crisis,"['NightSky', 'The Binding of Isaac: Rebirth']","['NightSky', 'The Binding of Isaac: Rebirth']"
369,nihon falcom,Ys seriesDragon Slayer series The Legend of Heroes franchise  Xanadu series The Legend of Heroes: Trails of Cold Steel series Zwei!!Zwei: The Ilvard InsurrectionBrandishVantage MasterGurumin: A Monstrous Adventure,"['Brandish', 'Gurumin: A Monstrous Adventure', 'The Legend of Heroes: Trails of Cold Steel', 'Dragon Slayer', 'Zwei!!', 'Xanadu', 'Zwei: The Ilvard Insurrection']","['Ys I Complete', 'Ys II Chronicles Plus', 'The Legend of Heroes: Trails of Zero', 'The Legend of Heroes: Trails in the Sky - Second Chapter', 'Zwei: The Arges Adventure', 'Zwei!!', 'The Legend of Xanadu', 'Ys II Complete', 'Dragon Slayer', 'Gurumin: A Monstrous Adventure', 'The Legend of Heroes: Trails in the Sky', 'Ys I & II Complete', 'The Legend of Heroes: Trails in the Sky - FC Evolution', 'Zwei: The Ilvard Insurrection', 'Tokyo Xanadu eX+', 'The Legend of Heroes: Trails of Azure', 'The Legend of Heroes: Trails in the Sky the 3rd', 'Vantage Master Online', 'The Legend of Heroes: Trails of Cold Steel', 'Ys I & II Chronicles Plus', 'Xanadu', 'Brandish 4', 'Xanadu Next', 'Ys VIII: Lacrimosa of Dana', 'Tokyo Xanadu', 'Ys vs. Sora no Kiseki: Alternative Saga', 'Ys I Chronicles Plus', 'Brandish 2: The Planet Buster', 'Dragon Slayer: The Legend of Heroes', 'Brandish']"
373,ninja theory,Heavenly SwordEnslaved: Odyssey to the WestDmC: Devil May CryHellblade: Senua's Sacrifice,"['DmC: Devil May Cry', 'Enslaved: Odyssey to the West', 'Heavenly Sword', ""Hellblade: Senua's Sacrifice""]","['DmC: Devil May Cry', 'Enslaved: Odyssey to the West', ""Hellblade: Senua's Sacrifice"", 'Heavenly Sword']"
374,nintendo,Super Mario franchiseThe Legend of Zelda franchisePokémon franchiseFire Emblem franchiseSplatoon seriesMetroid franchiseKid Icarus seriesPikmin seriesXenoblade Chronicles seriesAnimal Crossing seriesF-Zero seriesStar Fox seriesKirby franchiseMother seriesSuper Smash Bros. seriesTomodachi seriesBrain Age seriesWave Race series,[],"['My Nintendo Picross - The Legend of Zelda: Twilight Princess', 'Mario Bros.', 'Tetris & Dr. Mario', 'VS. Super Mario Bros.', 'Metroid: Zero Mission', 'Super Mario Party', 'The Legend of Zelda: Ocarina of Time Master Quest', 'Mario Kart 8 - Animal Crossing DLC', 'Mini Mario & Friends amiibo Challenge', 'New Super Luigi U', 'The Legend of Zelda: Four Swords Anniversary Edition', 'Super Mario Run', 'Kirby Fighters Deluxe', 'Pikmin Adventure: Tame the Wilderness', 'F-1 Race', 'Mario Teaches Typing', 'Mario Kart 8 Deluxe', 'Stunt Race FX', '3D Classics: Kid Icarus', 'The Legend of Zelda: Four Swords', 'Dr. Mario 64', 'Super Mario Bros. / Duck Hunt', 'Pokémon Tetris', ""The Legend of Zelda Collector's Edition"", 'Mario Kart 8 - The Legend of Zelda DLC', 'Super Mario Odyssey', 'Super Metroid']"
375,nippon ichi software,Rhapsody: A Musical AdventureLa Pucelle: TacticsDisgaea seriesPhantom BraveGrimGrimoireHotaru no Nikki,"['La Pucelle: Tactics', 'Phantom Brave', 'Rhapsody: A Musical Adventure']","['Uta no Prince-sama Music 2', 'La Pucelle: Tactics', 'Phantom Brave', 'Phantom Brave: Heroes of the Hermuda Triangle', 'Phantom Brave PC', 'Rhapsody: A Musical Adventure', 'La Pucelle: Ragnarok', 'Disgaea 2: Cursed Memories', 'Disgaea 5: Alliance of Vengeance', 'Disgaea D2: A Brighter Darkness', 'Disgaea PC', 'Disgaea Infinite', 'Disgaea 5 Complete', 'Disgaea 2 PC', 'A Rose in the Twilight', 'Uta no Prince-sama', 'Disgaea 4: A Promise Unforgotten', 'Disgaea 2: Dark Hero Days', 'Disgaea 4: A Promise Revisited']"
376,nival,Etherlords seriesBlitzkrieg seriesHeroes of Might and Magic V,[],['Blitzkrieg 3']
377,nordeus,Top Eleven Football Manager,['Top Eleven Football Manager'],['Top Eleven Football Manager']
378,novalogic,Delta Force seriesJoint Operations series,['Delta Force'],"['Delta Force: Black Hawk Down', 'Joint Operations: Escalation', 'Delta Force: Xtreme', 'Delta Force: Land Warrior', 'Joint Operations: Combined Arms', 'Delta Force: Xtreme 2', 'Delta Force', 'Joint Operations: Typhoon Rising']"
379,novalogic,Delta Force seriesJoint Operations series,[],['Delta Force 2']
380,novarama,Invizimals series,['Invizimals'],['Invizimals']
381,now production,Mario Super SluggersSonic Riders,[],[]
382,nude maker,Steel Battalion seriesInfinite SpaceNightCry,['NightCry'],['NightCry']
383,n-space,"Heroes of RuinPort for various video games, include Call of Duty series",[],['Duke Nukem: Land of the Babes']
384,n-space,"Heroes of RuinPort for various video games, include Call of Duty series",['Heroes of Ruin'],"['Heroes of Ruin', 'Rugrats: Search for Reptar', 'Call of Duty: Modern Warfare - Mobilized', 'Bugriders: The Race of Kings', 'Call of Duty: Modern Warfare 3 - Defiance']"
385,obsidian entertainment,Fallout New VegasNeverwinter Nights 2Dungeon Siege IIISouth Park: The Stick of TruthPillars of EternityThe Outer Worlds,"['Dungeon Siege III', 'Neverwinter Nights 2', 'South Park: The Stick of Truth', 'Pillars of Eternity', 'The Outer Worlds']","['Pillars of Eternity', 'Dungeon Siege III', 'The Outer Worlds', 'South Park: The Stick of Truth', 'Neverwinter Nights 2']"
386,omega force,Warriors franchise Dynasty Warriors series Dynasty Warriors: Gundam series Samurai Warriors series Warriors Orochi series One Piece: Pirate Warriors series Hyrule Warriors Fire Emblem Warriors Dragon Quest Heroes seriesDragon Quest Builders 2Persona 5 Strikers,['Samurai Warriors'],"['Attack on Titan', 'Dynasty Warriors: Strikeforce', 'Warriors Orochi Z', 'Samurai Warriors 4', 'Dynasty Warriors 4', 'Samurai Warriors 2', 'Dynasty Warriors 4: Empires', 'Samurai Warriors 4: Empires', 'Dynasty Warriors Vol. 2', 'Dynasty Warriors 7: Empires', 'Dynasty Warriors 8: Xtreme Legends - Complete Edition', 'Dynasty Warriors: Godseekers', 'Dynasty Warriors 2', 'Dynasty Warriors 6', ""Dragon Quest Heroes: The World Tree's Woe and the Blight Below"", 'Samurai Warriors: Chronicles', 'Dynasty Warriors 4: Xtreme Legends', 'Samurai Warriors: Katana', 'Dynasty Warriors 3', 'Warriors Orochi 3', 'Dynasty Warriors 5: Empires', 'Samurai Warriors: Spirit of Sanada', 'Dynasty Warriors 9', 'Dynasty Warriors (1997)', 'Dynasty Warriors 7', 'One Piece: Pirate Warriors 3', 'Dragon Quest Heroes II', 'Warriors Orochi 3 Hyper', 'Samurai Warriors: Xtreme Legends', 'Dynasty Warriors 7: Xtreme Legends', ""Bladestorm: The Hundred Years' War"", 'Dynasty Warriors 5: Xtreme Legends', 'Dynasty Warriors 8', 'Samurai Warriors: Chronicles 3', 'Warriors All-Stars', 'Dynasty Warriors 8: Empires', 'Dynasty Warriors (2004)', 'Samurai Warriors: State of War', 'Dynasty Warriors Next', 'Dynasty Warriors 6: Empires', 'Samurai Warriors', 'Dynasty Warriors 5', 'Samurai Warriors 3']"
387,origin systems,Ultima seriesUltima OnlineWing Commander series,[],[]
388,origin systems,Ultima seriesUltima OnlineWing Commander series,['Wing Commander'],"['Wing Commander II: Vengeance of the Kilrathi - Special Operations 1', 'Wing Commander II: Vengeance of the Kilrathi - Special Operations 2', 'Ultima IX: Ascension', 'Wing Commander: Armada', 'Ultima IV: Quest of the Avatar', 'Ultima VI: The False Prophet', 'Wing Commander', 'Wing Commander III: Heart of the Tiger', 'Ultima VII, Part Two: The Silver Seed', 'Ultima VII: The Forge of Virtue', 'Ultima V: Warriors of Destiny', 'Strike Commander', 'Wing Commander: Secret Ops', 'Wing Commander: Privateer - Righteous Fire', 'Wing Commander: Privateer', 'Wing Commander: The Secret Missions', 'Ultima 8: Gold Edition', 'Ultima VIII: Pagan', 'Ultima Online: The Second Age', 'Wing Commander II: Vengeance of the Kilrathi', 'Ultima VII: The Black Gate', 'Ultima VII Part Two: Serpent Isle', 'Wing Commander: Academy', 'Wing Commander: The Secret Missions 2 - Crusade', 'Wing Commander IV: The Price of Freedom']"
389,otherside entertainment,Underworld AscendantSystem Shock 3,['Underworld Ascendant'],['Underworld Ascendant']
390,outrage entertainment,Descent 3,['Descent 3'],['Descent 3']
391,overkill software,Payday series,[],"['Payday 2', 'Payday 2: The Diamond Heist DLC', 'Payday 2: Crimewave Edition', 'Payday 2: The Big Bank Heist DLC', 'Payday 2: Scarface Heist DLC', 'Payday 2: The Alesso Heist DLC', 'Payday 2: Hotline Miami DLC', 'Payday 2: The Biker Heist DLC']"
392,oxygen studios,King of Clubs,['King of Clubs'],['King of Clubs']
393,page 44 studios,FreekstyleHigh School Musical 3: Senior Year DanceMadden NFL 11 iOSuDraw PictionaryWorld of Goo iOS,[],[]
395,people can fly,BulletstormPainkiller,['Painkiller'],['Painkiller']
396,project sora,Kid Icarus: Uprising,['Kid Icarus: Uprising'],['Kid Icarus: Uprising']
397,purple lamp studios,SpongeBob SquarePants: Battle for Bikini Bottom – Rehydrated,[],[]
399,project soul,Soul series,[],['Soul Blade']
400,paradox development studio,Europa Universalis seriesHearts of Iron seriesCrusader Kings series,"['Europa Universalis', 'Hearts of Iron']","['Europa Universalis: Rome - Gold Edition', 'Europa Universalis: Rome', 'Europa Universalis: Rome - Vae Victis', 'Victoria I Complete', 'Europa Universalis IV', 'Europa Universalis II', 'Hearts of Iron', 'Europa Universalis', 'Hearts of Iron II: Complete', 'March of the Eagles']"
401,parallax software,Descent series,['Descent'],"['Descent', 'Descent II']"
402,pandemic studios,Star Wars: BattlefrontDestroy All Humans! seriesFull Spectrum WarriorMercenaries: Playground of DestructionThe Saboteur,"['Destroy All Humans!', 'Full Spectrum Warrior', 'Mercenaries: Playground of Destruction', 'The Saboteur']","['Star Wars: Battlefront II (2005)', 'The Lord of the Rings: Conquest', 'Destroy All Humans! 2', 'Destroy All Humans!', 'Full Spectrum Warrior', 'Star Wars: Battlefront (2004)', 'Star Wars: The Clone Wars', 'The Saboteur', 'Mercenaries: Playground of Destruction']"
403,pendulo studios,Runaway series,[],[]
404,penguin software,Transylvania series,[],[]
405,perfect world,Perfect World series,[],['Forsaken World']
406,petroglyph,Star Wars: Empire at WarUniverse at War: Earth AssaultGrey Goo,['Grey Goo'],['Grey Goo']
407,phantagram,Kingdom Under Fire series,['Kingdom Under Fire'],"['Kingdom Under Fire: The Crusaders', 'Kingdom Under Fire']"
408,phenomic game development,SpellForce seriesBattleForgeLord of UltimaCommand and Conquer: Tiberium Alliances,[],['SpellForce: The Order of Dawn']
409,piranha bytes,Gothic 1–3Risen seriesELEX,"['Gothic', 'Risen', 'ELEX']","['Gothic II: Night of the Raven', 'Gothic II', 'Risen 3 - Uprising of the Little Guys DLC', 'Risen 2: Dark Waters', 'Risen 3: Titan Lords', 'Risen 2: Dark Waters - Air Temple', 'ELEX', 'Gothic', 'Gothic 3', 'Risen 3 - Fog Island DLC', 'Risen 2: Dark Waters - Treasure Isle', 'Risen', 'Gothic II: Gold Edition']"
410,piranha games,MechWarrior 5MechWarrior OnlineBass Pro Shops: The StrikeDie Hard: Nakatomi Plaza,"['Bass Pro Shops: The Strike', 'Die Hard: Nakatomi Plaza', 'MechWarrior Online']","['Bass Pro Shops: The Strike', 'Die Hard: Nakatomi Plaza', 'MechWarrior Online']"
411,pi studios,Bomberman Live: Battlefest,['Bomberman Live: Battlefest'],['Bomberman Live: Battlefest']
412,pivotal games,Conflict seriesThe Great Escape,[],['The Great Escape (2003)']
413,pixel federation,Galactic Junk League,['Galactic Junk League'],['Galactic Junk League']
414,playfish,The Sims Social,[],[]
416,playground games,Forza Horizon seriesFable (2020),[],"['Forza Horizon: Rally', 'Forza Horizon 4', 'Forza Horizon 3', 'Forza Horizon 3: Blizzard Mountain', 'Forza Horizon 4: Fortune Island', 'Forza Horizon 2 Presents Fast & Furious']"
417,platinumgames,MadWorldBayonetta seriesVanquishAnarchy ReignsMetal Gear Rising: RevengeanceThe Wonderful 101Star Fox ZeroNier: AutomataAstral Chain,"['Anarchy Reigns', 'Nier: Automata', 'Astral Chain']","['Nier: Automata', 'Anarchy Reigns', 'Astral Chain', 'Nier: Automata - 3C3C1D119440927']"
418,polyphony digital,Gran Turismo seriesTourist Trophy,"['Gran Turismo', 'Tourist Trophy']","['Gran Turismo Concept 2002 Tokyo-Geneva', 'Gran Turismo', 'Gran Turismo 2', 'Gran Turismo 3: A-Spec', 'Gran Turismo 6', 'Gran Turismo Sport', 'Gran Turismo HD Concept', 'Tourist Trophy', 'Gran Turismo 4', 'Gran Turismo 5 Prologue', 'Gran Turismo (PSP)', 'Gran Turismo 5']"
419,popcap games,Bejeweled seriesPlants vs. Zombies seriesPeggle seriesZuma,"['Bejeweled', 'Plants vs. Zombies']","[""Plants vs. Zombies 2: It's About Time"", 'Bejeweled Blitz', 'Plants vs. Zombies: Heroes', 'Plants vs. Zombies: Garden Warfare', 'Peggle 2', 'Peggle Blast', 'Plants vs. Zombies', 'Mystery P.I.: Portrait of a Thief', 'Peggle Nights', 'Plants vs. Zombies: Garden Warfare 2', 'Bejeweled', 'Bejeweled 3']"
420,press play,Max & the Magic MarkerMax: The Curse of Brotherhood,"['Max & the Magic Marker', 'Max: The Curse of Brotherhood']","['Max & the Magic Marker', 'Max: The Curse of Brotherhood']"
421,psyonix,Rocket LeagueXCOM: Enemy Unknown,['Rocket League'],['Rocket League']
422,q entertainment,Lumines series,['Lumines'],"['Lumines Live!', 'Lumines II', 'Lumines Plus', 'Lumines', 'Lumines Supernova']"
423,q-games,Star Fox CommandPixelJunk seriesThe Tomorrow Children,[],"['PixelJunk Monsters', 'PixelJunk SideScroller', 'PixelJunk Monsters 2', 'PixelJunk Racers 2nd Lap', 'PixelJunk Shooter', 'PixelJunk Eden', 'PixelJunk Monsters Deluxe', 'PixelJunk 4am', 'PixelJunk Shooter 2', 'PixelJunk Monsters Ultimate']"
424,quantic dream,FahrenheitHeavy RainBeyond: Two SoulsDetroit: Become Human,"['Beyond: Two Souls', 'Heavy Rain', 'Detroit: Become Human']","['Detroit: Become Human', 'Beyond: Two Souls', 'Heavy Rain']"
425,radical entertainment,Prototype series,['Prototype'],"['Prototype 2', 'Prototype', ""Al Unser Jr.'s Road to the Top""]"
426,rainbow studios,MX vs. ATV series,[],"['MX Unleashed', 'ATV Offroad Fury', 'MX vs. ATV Unleashed', 'MX vs. ATV Supercross', 'ATV Offroad Fury 2', 'MX vs. ATV Alive', 'MX vs ATV All Out']"
427,rare,Battletoads seriesDonkey Kong Country seriesKiller Instinct seriesBanjo-Kazooie seriesDonkey Kong 64GoldenEye 007Conker's Bad Fur DayPerfect Dark seriesSea of Thieves,"['Banjo-Kazooie', ""Conker's Bad Fur Day"", 'Donkey Kong 64', 'Donkey Kong Country', 'Sea of Thieves']","['Diddy Kong Racing DS', 'Perfect Dark Zero', 'Sea of Thieves', 'Killer Instinct 2 Classic', 'Killer Instinct (1994)', ""Conker's Bad Fur Day"", 'A Nightmare on Elm Street', 'Donkey Kong Land III', 'Battletoads (Arcade)', 'Donkey Kong Country', 'GoldenEye 007 (1997)', 'Kameo: Elements of Power', ""Donkey Kong Country 3: Dixie Kong's Double Trouble!"", 'Donkey Kong 64', ""Donkey Kong Country 2: Diddy's Kong Quest"", ""Conker's Pocket Tales"", 'Donkey Kong Land 2', 'Digger T. Rock: Legend of the Lost City', 'Viva Piñata: Trouble in Paradise', 'Wheel of Fortune (1987)', 'Banjo-Kazooie', 'Donkey Kong Land', ""Battletoads in Ragnarok's World"", 'Killer Instinct Gold']"
428,raven software,HereticHexenSingularityCall of Duty seriesStar Wars Jedi Knight II: Jedi OutcastSoldier of Fortune II: Double HelixMarvel: Ultimate Alliance,"['Heretic', 'Hexen', 'Marvel: Ultimate Alliance', 'Singularity', 'Soldier of Fortune']","['Heretic - Shadow of the Serpent Riders', 'Heretic', 'Heretic II', 'Marvel: Ultimate Alliance', 'Hexen II - Mission Pack: Portal of Praevus', 'Hexen II', 'Soldier of Fortune', 'Hexen', 'Singularity', 'Star Trek: Voyager - Elite Force Expansion Pack', 'Hexen: Deathkings of the Dark Citadel']"
429,ready at dawn,DaxterThe Order: 1886DeformersLone Echo,"['Deformers', 'Lone Echo']","['Deformers', 'Lone Echo']"
430,ready at dawn,DaxterThe Order: 1886DeformersLone Echo,['Daxter'],['Daxter']
431,red entertainment,Sakura Wars seriesGungrave series,[],[]
432,red entertainment,Sakura Wars seriesGungrave series,['Gungrave'],['Gungrave']
433,reality pump studios,Two Worlds series,[],"['Two Worlds II: Castle Defense', 'Two Worlds II: Call of the Tenebrae', 'Two Worlds II: Pirates of the Flying Fortress DLC', 'Two Worlds: Epic Edition']"
435,realtime worlds,Crackdown,['Crackdown'],['Crackdown']
436,rebellion developments,Aliens vs. Predator seriesSniper Elite series,[],"['Sniper Elite V2: The Neudorf Outpost DLC', 'Call of Duty: World at War - Final Fronts', 'Sniper Elite V2', 'Sniper Elite V2: The Landwehr Canal DLC', 'Star Wars Battlefront: Elite Squadron (PSP)', 'Sniper Elite: Nazi Zombie Army 2', 'Sniper Elite V2: Assassinate The Fuhrer DLC', 'Sniper Elite V2: St. Pierre DLC', 'Aliens vs. Predator (2010)', 'Dead to Rights: Reckoning']"
437,redlynx,Trials series,[],"['Trials 2: Second Edition', 'Trials of the Blood Dragon', 'Trials Frontier', 'Trials Fusion', 'Trials HD', 'Trials Evolution', 'Trials Rising']"
438,red thread games,Dreamfall Chapters: The Longest Journey,['Dreamfall Chapters'],['Dreamfall Chapters']
439,red storm entertainment,Tom Clancy's Ghost ReconTom Clancy's Rainbow Six,"[""Tom Clancy's Rainbow Six""]","[""Tom Clancy's Rainbow Six""]"
440,reflexive entertainment,Airport Mania series,[],[]
441,relic entertainment,Company of Heroes seriesWarhammer 40000: Dawn of War seriesHomeworld series,"['Company of Heroes', 'Homeworld']","['Company of Heroes: Opposing Fronts', 'Warhammer 40,000: Dawn of War II', 'Company of Heroes 2', 'Warhammer 40,000: Dawn of War - Dark Crusade', 'Company of Heroes: The Great War 1918', 'Company of Heroes: Tales of Valor', 'Warhammer 40,000: Dawn of War', 'Company of Heroes', 'Warhammer 40,000: Dawn of War - Winter Assault', 'Warhammer 40,000: Dawn of War II - Chaos Rising', 'Warhammer 40,000: Dawn of War III', 'Warhammer 40,000: Space Marine', 'Homeworld 2', 'Homeworld', 'Company of Heroes 2: Ardennes Assault', 'Warhammer 40,000: Dawn of War II - Retribution', 'Warhammer 40,000: Dawn of War II - Retribution: The Last Standalone']"
442,remedy entertainment,Max Payne seriesAlan Wake seriesControl,"['Alan Wake', 'Max Payne', 'Control']","['Alan Wake: The Signal DLC', 'Alan Wake: The Writer DLC', 'Max Payne', 'Alan Wake', 'Control', ""Alan Wake's American Nightmare""]"
443,respawn entertainment,TitanfallApex LegendsStar Wars Jedi: Fallen Order,"['Titanfall', 'Star Wars Jedi: Fallen Order', 'Apex Legends']","['Star Wars Jedi: Fallen Order', 'Titanfall', 'Apex Legends']"
444,reto-moto,Heroes & Generals,['Heroes & Generals'],['Heroes & Generals']
445,revolution software,Broken Sword seriesBeneath a Steel Sky,['Beneath a Steel Sky'],"['Broken Sword: The Shadow of the Templars', ""Broken Sword 5: The Serpent's Curse - Episode 2"", 'Beneath a Steel Sky', 'Broken Sword II: The Smoking Mirror', ""Broken Sword 5: The Serpent's Curse"", 'Broken Sword: The Sleeping Dragon', ""Broken Sword: The Shadow of the Templars - Director's Cut"", 'Broken Sword II: The Smoking Mirror - Remastered', ""Broken Sword 5: The Serpent's Curse - Episode 1""]"
446,riot games,League of Legends Legends of Runeterra Valorant,['League of Legends'],['League of Legends']
448,robot entertainment,Orcs Must Die! seriesHero Academy seriesAge of Empires Online,"['Hero Academy', 'Orcs Must Die!']","['Orcs Must Die!', 'Orcs Must Die! 2', 'Orcs Must Die! Unchained', 'Orcs Must Die! 2: Fire and Water DLC', 'Hero Academy', 'Orcs Must Die! - Lost Adventures']"
449,rockstar games,Grand Theft Auto franchiseManhunt seriesMidnight Club seriesRed Dead seriesBully,[],"['Grand Theft Auto Online', 'L.A. Noire: The VR Case Files']"
450,rocksteady studios,Batman: Arkham seriesSuicide Squad: Kill the Justice League,[],"[""Batman: Arkham Knight - Catwoman's Revenge"", 'Batman: Arkham Asylum GOTY', 'Batman: Arkham Knight', 'Batman: Arkham Knight - Harley Quinn Story Pack', 'Batman: Arkham Knight - Red Hood Story Pack', 'Batman: Arkham Knight - Season of Infamy: Most Wanted', 'Batman: Arkham Knight - GCPD Lockdown', 'Batman: Arkham Knight - Premium Edition', 'Batman: Arkham Knight - A Flip of a Coin', 'Batman: Arkham Asylum', 'Batman: Arkham City GOTY', ""Batman: Arkham City - Harley Quinn's Revenge DLC""]"
451,robinson technologies,Dink Smallwood,['Dink Smallwood'],['Dink Smallwood']
452,rovio entertainment,Angry Birds franchise,[],[]
453,ruffian games,Crackdown 2,['Crackdown 2'],['Crackdown 2']
454,runic games,Torchlight,['Torchlight'],['Torchlight']
455,running with scissors,Postal series,['Postal'],"['Postal', 'Postal 2: Paradise Lost', 'Postal Redux']"
456,running with scissors,Postal series,[],"['Postal 2: Apocalypse Weekend', 'Postal 2']"
457,saber interactive,World War Z,[],[]
458,sand grain studios,Cabela's Big Game Hunter: 2004 Season,[],[]
459,sandlot,Robot Alchemic DriveEarth Defense Force seriesZangeki no Reginleiv,[],"['Earth Defense Force 4.1 - Mission Pack 2: Extreme Battle', 'Earth Defense Force 4.1 - Mission Pack 1: Time of the Mutants']"
460,sandlot,Robot Alchemic DriveEarth Defense Force seriesZangeki no Reginleiv,"['Robot Alchemic Drive', 'Zangeki no Reginleiv']","['Zangeki no Reginleiv', 'Earth Defense Force 2025', 'Robot Alchemic Drive', 'Global Defence Force', 'Earth Defense Force 2017', 'Earth Defense Force 2: Invaders from Planet Space', 'Earth Defense Force 5']"
461,sanzaru games,Sly Cooper: Thieves in TimeSonic Boom: Shattered CrystalSonic Boom: Fire & Ice,"['Sly Cooper: Thieves in Time', 'Sonic Boom: Shattered Crystal', 'Sonic Boom: Fire & Ice']","['Sonic Boom: Shattered Crystal', 'Sly Cooper: Thieves in Time', 'Sonic Boom: Fire & Ice']"
462,sir-tech,Wizardry seriesJagged Alliance series,[],['Wizardry 8']
463,schell games,I Expect You To Die,['I Expect You To Die'],['I Expect You To Die']
464,scs software,18 Wheels of Steel seriesEuro Truck Simulator series,['Euro Truck Simulator'],"['18 Wheels of Steel: American Long Haul', 'Euro Truck Simulator', 'American Truck Simulator', 'Euro Truck Simulator 2', '18 Wheels of Steel: Convoy', 'Scania Truck Driving Simulator', ""18 Wheels of Steel: Haulin'""]"
465,sega,Sonic the Hedgehog franchiseGolden Axe seriesStreets of Rage seriesThe House of the Dead seriesSuper Monkey Ball seriesPuyo Puyo seriesJet Set Radio seriesPhantasy Star seriesSakura Wars seriesYakuza seriesValkyria Chronicles seriesMushiking seriesHatsune Miku: Project DIVA series,[],[]
466,sega,Sonic the Hedgehog franchiseGolden Axe seriesStreets of Rage seriesThe House of the Dead seriesSuper Monkey Ball seriesPuyo Puyo seriesJet Set Radio seriesPhantasy Star seriesSakura Wars seriesYakuza seriesValkyria Chronicles seriesMushiking seriesHatsune Miku: Project DIVA series,['Hatsune Miku: Project DIVA'],"['Super Thunder Blade', 'Alex Kidd in Shinobi World', 'Star Jacker', 'Super Zaxxon', 'Yakuza Kiwami 2', 'Asterix and the Secret Mission', 'Alex Kidd: The Lost Stars', 'Triple Score: 3 Games in 1', 'Alex Kidd in Miracle World', 'Lord of the Sword', 'Sonic Drift 2', 'Legend of Illusion Starring Mickey Mouse', 'Sonic Mega Collection Plus', 'Yakuza 0', 'Bleach: The 3rd Phantom', 'Yakuza: Dead Souls', 'Yakuza 5', ""Ayrton Senna's Super Monaco GP II"", 'Wrestle War', 'Valkyria Chronicles 4', 'Project Altered Beast', 'Hatsune Miku: Project DIVA 2nd', 'Sakura Taisen: Atsuki Chishio Ni', 'Phantasy Star Generation: 1', 'Super Monkey Ball Deluxe', 'Pro Wrestling (1986)', 'Golden Axe Warrior', 'Phantasy Star III: Generations of Doom', 'Shinobi II: The Silent Fury', 'Phantasy Star IV: The End of the Millennium', 'Sakura Taisen', 'Golden Axe III', 'Hatsune Miku: Project DIVA Extend', 'The Ninja', 'Sakura Taisen Online', 'Valkyria Chronicles II', 'Super Monkey Ball: Step & Roll', 'Pocket Kingdom: Own the World', 'Aztec Adventure: The Golden Road to Paradise', 'Fantasy Zone: The Maze', 'Hatsune Miku: Project DIVA', 'Danan the Jungle Fighter', 'The Cyber Shinobi', 'Yakuza Kiwami', 'Yakuza 6: The Song of Life', 'Wonder Boy in Monster Land', 'Sonic Crackers', 'Sonic Drift', 'Sonic Gems Collection', 'Super Monkey Ball: Banana Blitz', 'L.A. Machineguns: Rage Of The Machines', 'Spider-Man: The Video Game', 'Golden Axe II', 'Alex Kidd in the Enchanted Castle', 'Hatsune Miku: Project Mirai DX', 'Super Monaco GP', 'Sonic Classic Collection', 'Phantasy Star Online 2', 'Super Monkey Ball Touch & Roll', 'Hatsune Miku: Project DIVA Future Tone', 'Ghost House', 'Alien 3: The Gun', 'Super Columns', 'Valkyria Chronicles Remastered', 'Dragon Force II: Kamisarishi Daichi ni', 'Sakura Taisen V - Episode 0: Kouya no Samurai Musume']"
